emd_code,행정구역
3119261,신갈동
3119263,영덕1동
3119264,영덕2동
3119265,상갈동
3119266,보라동
3119267,동백1동
3119268,동백2동
3119269,동백3동
3119351,풍덕천1동
3119352,풍덕천2동
3119353,신봉동
3119354,죽전1동
3119355,죽전2동
3119356,동천동
3119357,상현1동
3119358,상현2동
3119359,성복동
3120011,문산읍
3120012,파주읍
3120013,법원읍
3120015,조리읍
3120039,장단면
3120031,월롱면
3120032,탄현면
3120035,광탄면
3120036,파평면
3120037,적성면
3120052,금촌2동
3120053,금촌1동
3120054,금촌3동
3120055,교하동
3120056,운정1동
3120057,운정2동
3120058,운정3동
3121011,장호원읍
3121012,부발읍
3121031,신둔면
3121032,백사면
3121033,호법면
3121034,마장면
3121035,대월면
3121036,모가면
3121037,설성면
3121038,율면
3121051,창전동
3121052,중리동
3121053,관고동
3121054,증포동
3122011,공도읍
3122031,보개면
3122032,금광면
3122033,서운면
3122034,미양면
3122035,대덕면
3122036,양성면
3122038,원곡면
3122039,일죽면
3122040,죽산면
3122041,삼죽면
3122042,고삼면
3122051,안성1동
3122052,안성2동
3122053,안성3동
3123011,통진읍
3123012,고촌읍
3123013,양촌읍
3123034,대곶면
3123035,월곶면
3123036,하성면
3123061,김포본동
3123053,사우동
3123054,풍무동
3123056,장기동
3123063,구래동
3123062,장기본동
3123060,운양동
3123064,마산동
3124012,봉담읍
3124013,우정읍
3124014,향남읍
3124015,남양읍
3124031,매송면
3124033,비봉면
3124035,마도면
3124036,송산면
3124037,서신면
3124038,팔탄면
3124039,장안면
3124042,양감면
3124043,정남면
3124052,진안동
3124053,병점1동
3124054,병점2동
3124055,반월동
3124056,기배동
3124057,화산동
3124060,동탄2동
3124061,동탄1동
3124062,동탄3동
3124064,동탄4동
3124065,동탄5동
3124067,새솔동
3124069,동탄7동
3124070,동탄6동
3124071,동탄8동
3125011,오포읍
3125012,초월읍
3125014,곤지암읍
3125034,도척면
3125035,퇴촌면
3125036,남종면
3125038,남한산성면
3125054,경안동
3125055,송정동
3125056,쌍령동
3125057,탄벌동
3125058,광남1동
3125059,광남2동
3126011,백석읍
3126031,은현면
3126032,남면
3126033,광적면
3126034,장흥면
3126051,양주1동
3126052,양주2동
3126053,회천1동
3126054,회천2동
3126055,회천3동
3126056,회천4동
3127011,소흘읍
3127031,군내면
3127032,내촌면
3127033,가산면
3127034,신북면
3127035,창수면
3127036,영중면
3127037,일동면
3127038,이동면
3127039,영북면
3127040,관인면
3127041,화현면
3127051,포천동
3127052,선단동
3128011,가남읍
3128031,점동면
3128032,능서면
3128033,흥천면
3128034,금사면
3128035,산북면
3128036,대신면
3128037,북내면
3128038,강천면
3128051,여흥동
3128052,중앙동
3128053,오학동
3135011,연천읍
3135012,전곡읍
3135031,군남면
3135032,청산면
3135033,백학면
3135034,미산면
3135035,왕징면
3135036,신서면
3135037,중면
3135038,장남면
3137011,가평읍
3137031,설악면
3137032,청평면
3137033,상면
3137036,조종면
3137035,북면
3138011,양평읍
3138031,강상면
3138032,강하면
3138033,양서면
3138034,옥천면
3138035,서종면
3138036,단월면
3138037,청운면
3138038,양동면
3138039,지평면
3138040,용문면
3138041,개군면
